id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0HK2UXP9A,全季酒店(肇嘉浜路店)停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路221号全季酒店(上海徐家汇肇嘉浜路店),121.462967,31.202758,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH8A7FW,金祥苑东二门停车场,交通设施服务;停车场;公共停车场,150904,柳州路628弄-1-35号金祥苑东2门,121.420313,31.179274,,[],[],交通设施,上海市,上海市,徐汇区
B0H2NUFT8C,上海银星皇冠假日酒店地面停车场,交通设施服务;停车场;公共停车场,150904,番禺路400号上海银星皇冠假日酒店,121.429624,31.203372,,[],[],交通设施,上海市,上海市,长宁区
B0FFHGOSKW,尚海湾豪庭2期停车场,交通设施服务;停车场;专用停车场,150905,凯滨路18弄1-5号,121.460958,31.179574,,[],[],交通设施,上海市,上海市,徐汇区
B0HGC7IJNC,大众金融大厦地下停车场,交通设施服务;停车场;公共停车场,150904,延安西路1033号大众金融大厦(昭化路店),121.430081,31.212464,,[],[],交通设施,上海市,上海市,长宁区
B0HGYCWFVQ,湘江大厦停车场,交通设施服务;停车场;公共停车场,150904,凯旋路与南丹路交叉口西240米,121.420442,31.192788,,[],[],交通设施,上海市,上海市,长宁区
B0H6SAXDD2,光启文化广场停车场,交通设施服务;停车场;公共停车场,150904,影业街与斜土路交叉口西北120米,121.441332,31.186089,,[],[],交通设施,上海市,上海市,徐汇区
B0IG2U8QOM,西岸创意园立体停车场,交通设施服务;停车场;公共停车场,150904,徐虹中路与古宜路交叉口东北100米,121.424668,31.188408,,[],[],交通设施,上海市,上海市,徐汇区
B0FFG6GYE2,钦州北路-道路停车位,交通设施服务;停车场;路边停车场,150906,钦州北路与周沈巷交叉口东20米,121.422396,31.180148,,[],[],交通设施,上海市,上海市,徐汇区
B0FFGYZYWQ,上海高级金融学院停车场,交通设施服务;停车场;公共停车场,150904,淮海西路211号上海交通大学徐汇校区上海高级金融学院,121.431283,31.200222,,[],[],交通设施,上海市,上海市,徐汇区
B0FFFWU6FN,怡丰文化商娱中心地下停车场,交通设施服务;停车场;公共停车场,150904,衡山路与乌鲁木齐南路交叉口西100米,121.447338,31.206906,,[],[],交通设施,上海市,上海市,徐汇区
B0G0VUL6KJ,海兴广场地下停车场(入口),交通设施服务;停车场;停车场入口,150907,海兴广场地下停车场(打浦桥地铁站3号口步行330米),121.467465,31.204126,,[],[],交通设施,上海市,上海市,黄浦区
B0GK6RSZIN,嘉利大厦延安西路地下停车场,交通设施服务;停车场;公共停车场,150904,延安西路与安西路交叉口东120米,121.427663,31.209881,,[],[],交通设施,上海市,上海市,长宁区
B0I66SH2C4,复旦大学附属华山医院江苏路分部地面停车场,交通设施服务;停车场;公共停车场,150904,江苏路796号复旦大学附属华山医院(江苏路分部),121.433694,31.212336,,[],[],交通设施,上海市,上海市,长宁区
B0HGMSWRAI,永丰国际广场停车场,交通设施服务;停车场;公共停车场,150904,宛平南路88号(永丰国际广场),121.444814,31.195270,,[],[],交通设施,上海市,上海市,徐汇区
B0G0XL2LHD,兆丰环球大厦停车场,交通设施服务;停车场;公共停车场,150904,中山西路1800号兆丰环球大厦,121.424021,31.183314,,[],[],交通设施,上海市,上海市,徐汇区
B00156O8UQ,上汽·上海文化广场内部停车场,交通设施服务;停车场;专用停车场,150905,复兴中路597号,121.463047,31.211187,,[],[],交通设施,上海市,上海市,黄浦区
B0H6YUB6CB,飞雕国际大厦地下停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路1065号飞雕国际大厦,121.441286,31.194136,,[],[],交通设施,上海市,上海市,徐汇区
B0H1VDQK9S,上海西华商旅大厦地下停车场,交通设施服务;停车场;公共停车场,150904,淮海西路1号上海西华商旅大厦,121.435453,31.201730,,[],[],交通设施,上海市,上海市,徐汇区
B0HKJC272J,上海利园国际大酒店地下停车场,交通设施服务;停车场;公共停车场,150904,东安路与斜土路交叉口东南240米,121.454011,31.192782,,[],[],交通设施,上海市,上海市,徐汇区
B0HBNDXDVT,美千居商业广场地下停车场,交通设施服务;停车场;公共停车场,150904,田林街道中山西路2352号,121.431611,31.180605,,[],[],交通设施,上海市,上海市,徐汇区
B0G0TRG4G7,中华门大厦停车场,交通设施服务;停车场;公共停车场,150904,宜山路520号中华门大厦(宜山路地铁站3号口步行200米),121.425770,31.181502,,[],[],交通设施,上海市,上海市,徐汇区
B0M65AGXVI,上生新所地面停车场,交通设施服务;停车场;公共停车场,150904,延安西路1262号上生新所,121.427034,31.206957,,[],[],交通设施,上海市,上海市,长宁区
B0H2N7I9NI,上海西藏大厦万怡酒店停车场,交通设施服务;停车场;公共停车场,150904,虹桥路100号(徐家汇地铁站20号口步行410米),121.434644,31.192042,,[],[],交通设施,上海市,上海市,徐汇区
B0FFM7GPG1,上海伽玛医院停车场,交通设施服务;停车场;公共停车场,150904,吴中东路上海伽玛医院,121.421768,31.190011,,[],[],交通设施,上海市,上海市,徐汇区
B0M6AUYMM0,东安大楼地上停车场,交通设施服务;停车场;公共停车场,150904,东安路338弄之1-4号东安大楼,121.454929,31.190410,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH9AQLM,昭化路-道路停车位,交通设施服务;停车场;路边停车场,150906,,121.430142,31.212779,,[],[],交通设施,上海市,上海市,长宁区
